ticker,category,period_index,as_of_date,composite_score,dcf_score,relative_score,recommendation,forward_return_pct
TXN,Information Technology (S&P 500),3,2024-06-27,-71.2,-74.4,-58.5,Sell,6.702673984701532
PPG,Materials (S&P 500),3,2024-06-27,42.1,35.4,68.9,Buy,2.940936577342895
PNW,Utilities (S&P 500),3,2024-06-27,65.6,75.1,27.6,Buy,18.348750446508255
AN,Consumer Discretionary (S&P 400),3,2024-06-27,64.3,93.1,-50.8,Buy,11.600027246100401
OMC,Communication Services (S&P 500),3,2024-06-27,69.5,81.9,19.8,Buy,13.86977236145308
KMB,Consumer Staples (S&P 500),3,2024-06-27,-65.7,-73.3,-35.3,Sell,2.1694928725660327
DINO,Energy (S&P 400),3,2024-06-27,38.9,64.8,-64.8,Buy,-13.900589138824563
SMTC,Information Technology (S&P 400),3,2024-06-27,44.7,39.9,63.8,Buy,65.45834903123112
CLF,Materials (S&P 400),3,2024-06-27,39.8,61.2,-45.7,Buy,-18.333333333333332
CELH,Consumer Staples (S&P 400),3,2024-06-27,-39.2,-64.5,62.1,Sell,-46.08967680882878
EHC,Health Care (S&P 400),3,2024-06-27,-11.7,-18.0,13.4,Sell,12.88082155037254
UNP,Industrials (S&P 500),3,2024-06-27,-14.6,-18.9,2.5,Sell,10.442634994402157
AVNT,Materials (S&P 400),3,2024-06-27,-47.5,-50.1,-37.3,Sell,14.97733716622823
TNL,Consumer Discretionary (S&P 400),3,2024-06-27,79.9,92.3,30.0,Buy,5.0034310380159015
BNL,Real Estate (S&P 600),3,2024-06-27,78.9,85.8,51.2,Buy,20.400263315967003
PM,Consumer Staples (S&P 500),3,2024-06-27,56.1,67.5,10.7,Buy,19.80898336173623
PBF,Energy (S&P 400),3,2024-06-27,36.7,50.0,-16.4,Buy,-31.50411229134914
ALKS,Health Care (S&P 600),3,2024-06-27,90.7,88.8,98.2,Buy,8.810207118108613
ROL,Industrials (S&P 500),3,2024-06-27,26.5,33.1,-0.1,Buy,3.1810016825813374
BCPC,Materials (S&P 600),3,2024-06-27,-23.6,-33.0,13.9,Sell,14.597627209367452
GOOG,Communication Services (S&P 500),3,2024-06-27,-29.6,-18.4,-74.1,Sell,-12.659458134029105
PNR,Industrials (S&P 500),3,2024-06-27,-14.1,-11.4,-24.7,Sell,27.20426050839222
ACLS,Information Technology (S&P 600),3,2024-06-27,-34.4,-33.7,-37.1,Sell,-27.01907808325879
AVY,Materials (S&P 500),3,2024-06-27,-62.0,-63.2,-57.5,Sell,-1.6565996495865136
OVV,Energy (S&P 400),3,2024-06-27,33.7,47.6,-21.6,Buy,-15.94829265943928
HWM,Industrials (S&P 500),3,2024-06-27,22.3,38.0,-40.2,Buy,25.385454348451002
WMG,Communication Services (S&P 400),3,2024-06-27,-55.8,-57.3,-50.1,Sell,1.8006297957702855
AMT,Real Estate (S&P 500),3,2024-06-27,-18.7,-28.3,19.3,Sell,20.637940628318304
DAR,Consumer Staples (S&P 400),3,2024-06-27,59.1,54.8,76.3,Buy,-1.2054756896136558
NVR,Consumer Discretionary (S&P 500),3,2024-06-27,-44.9,-36.1,-80.3,Sell,24.290706195860924
MTDR,Energy (S&P 400),3,2024-06-27,24.1,42.8,-50.4,Buy,-14.90447733006159
OPCH,Health Care (S&P 400),3,2024-06-27,63.3,57.8,85.5,Buy,10.912340442955264
NXPI,Information Technology (S&P 500),3,2024-06-27,-40.9,-35.8,-61.1,Sell,-11.323292251476955
UGI,Utilities (S&P 400),3,2024-06-27,80.4,94.5,24.0,Buy,10.719292002109464
CAKE,Consumer Discretionary (S&P 600),3,2024-06-27,26.3,14.5,73.3,Buy,1.5057345298228937
BG,Consumer Staples (S&P 500),3,2024-06-27,-1.8,-21.5,76.9,Hold,-11.378548568120737
CHTR,Communication Services (S&P 500),3,2024-06-27,71.3,77.8,45.1,Buy,6.929382169208363
FANG,Energy (S&P 500),3,2024-06-27,-49.9,-44.8,-70.0,Sell,-8.275375471111362
AVTR,Health Care (S&P 400),3,2024-06-27,-50.8,-50.1,-53.6,Sell,19.84126977059903
ALGT,Industrials (S&P 600),3,2024-06-27,97.1,100.0,85.7,Buy,-6.4997025810054465
STLD,Materials (S&P 500),3,2024-06-27,6.3,26.5,-74.2,Hold,-1.0033001073516763
T,Communication Services (S&P 500),3,2024-06-27,62.5,55.0,92.6,Buy,16.712494095410023
CVX,Energy (S&P 500),3,2024-06-27,26.6,39.5,-24.9,Buy,-6.869685073655554
POST,Consumer Staples (S&P 400),3,2024-06-27,65.4,100.0,-72.9,Buy,10.94201564606429
PSN,Industrials (S&P 400),3,2024-06-27,42.6,59.3,-24.2,Buy,25.50311526639187
ENSG,Health Care (S&P 400),3,2024-06-27,-17.6,-14.9,-28.2,Sell,24.68952244523069
GEF,Materials (S&P 400),3,2024-06-27,-12.8,-11.1,-19.5,Sell,5.208959605302367
CHH,Consumer Discretionary (S&P 400),3,2024-06-27,82.2,92.2,42.2,Buy,9.769700327090986
APAM,Financials (S&P 600),3,2024-06-27,39.3,51.5,-9.4,Buy,7.885248396381171
PR,Energy (S&P 400),3,2024-06-27,66.5,100.0,-67.6,Buy,-12.667727341747135
EW,Health Care (S&P 500),3,2024-06-27,-60.2,-66.1,-36.7,Sell,-29.92285597984676
ACIW,Information Technology (S&P 600),3,2024-06-27,-77.5,-80.4,-65.6,Sell,27.688311291979506
SPG,Real Estate (S&P 500),3,2024-06-27,43.7,54.3,1.2,Buy,14.300737103855116
CEG,Utilities (S&P 500),3,2024-06-27,-37.1,-65.8,77.6,Sell,28.601255258374998
APTV,Consumer Discretionary (S&P 500),3,2024-06-27,66.0,61.4,84.8,Buy,2.2905104737159188
JNJ,Health Care (S&P 500),3,2024-06-27,21.9,12.5,59.2,Buy,10.986943889770913
TEX,Industrials (S&P 400),3,2024-06-27,80.0,81.7,73.3,Buy,-2.2554611674687117
AMAT,Information Technology (S&P 500),3,2024-06-27,-69.6,-62.0,-100.0,Sell,-14.98381350853291
VZ,Communication Services (S&P 500),3,2024-06-27,-27.2,-25.7,-33.1,Sell,10.923728126213826
AJG,Financials (S&P 500),3,2024-06-27,16.2,22.9,-10.4,Buy,8.146353573198578
CHRD,Energy (S&P 400),3,2024-06-27,64.4,88.6,-32.4,Buy,-19.171642978627073
EXLS,Industrials (S&P 400),3,2024-06-27,42.1,34.8,71.3,Buy,19.350692187902347
HST,Real Estate (S&P 500),3,2024-06-27,52.6,55.2,42.4,Buy,2.1885493760128307
NYT,Communication Services (S&P 400),3,2024-06-27,-13.4,-9.2,-30.5,Sell,9.596078520479246
HRL,Consumer Staples (S&P 500),3,2024-06-27,74.3,77.5,61.7,Buy,3.8944508592755653
GAP,Consumer Discretionary (S&P 400),3,2024-06-27,33.2,19.0,90.3,Buy,-14.513442686068876
HAL,Energy (S&P 500),3,2024-06-27,86.1,86.9,82.7,Buy,-13.610934498699697
CPAY,Financials (S&P 500),3,2024-06-27,49.3,59.1,9.8,Buy,13.17783846130828
AXTA,Materials (S&P 400),3,2024-06-27,49.6,52.1,39.8,Buy,6.457347196564603
BLDR,Industrials (S&P 500),3,2024-06-27,-78.4,-73.0,-100.0,Sell,39.20644335736303
MAA,Real Estate (S&P 500),3,2024-06-27,59.5,66.5,31.4,Buy,16.170854346445516
AROC,Energy (S&P 600),3,2024-06-27,17.4,5.2,66.1,Buy,5.421110403481158
CHD,Consumer Staples (S&P 500),3,2024-06-27,43.0,34.9,75.2,Buy,-0.748219884756556
CMCSA,Communication Services (S&P 500),3,2024-06-27,73.2,83.7,31.2,Buy,6.902914981932017
VTRS,Health Care (S&P 500),3,2024-06-27,-3.7,13.9,-74.4,Hold,8.652560619328828
APD,Materials (S&P 500),3,2024-06-27,-21.2,-25.7,-3.6,Sell,13.187514924502755
TYL,Information Technology (S&P 500),3,2024-06-27,-49.9,-49.5,-51.6,Sell,17.462177941935707
COST,Consumer Staples (S&P 500),3,2024-06-27,-55.8,-55.1,-58.3,Sell,6.947089062653351
EXE,Energy (S&P 500),3,2024-06-27,-26.8,-46.6,52.2,Sell,-4.19295218055652
EFX,Industrials (S&P 500),3,2024-06-27,-57.5,-64.9,-27.9,Sell,21.972154481120903
SHW,Materials (S&P 500),3,2024-06-27,28.3,27.0,33.6,Buy,28.60138035121921
HSY,Consumer Staples (S&P 500),3,2024-06-27,35.9,26.1,75.4,Buy,4.714696404607709
LNT,Utilities (S&P 500),3,2024-06-27,35.1,35.3,34.4,Buy,18.3772379407462
APA,Energy (S&P 500),3,2024-06-27,18.4,21.2,7.2,Buy,-14.814558644687398
MCD,Consumer Discretionary (S&P 500),3,2024-06-27,65.4,64.5,69.2,Buy,17.061776837316113
IDCC,Information Technology (S&P 400),3,2024-06-27,69.8,100.0,-50.9,Buy,18.289244576670917
NUE,Materials (S&P 500),3,2024-06-27,-21.7,-10.4,-67.0,Sell,-3.431288477319189
MTN,Consumer Discretionary (S&P 400),3,2024-06-27,87.5,98.0,45.3,Buy,2.1005513958178423
LYV,Communication Services (S&P 500),3,2024-06-27,85.3,90.5,64.2,Buy,17.7733727822582
VAL,Energy (S&P 400),3,2024-06-27,-18.7,-6.0,-69.4,Sell,-24.859609635420284
DG,Consumer Staples (S&P 500),3,2024-06-27,26.5,17.5,62.6,Buy,-35.029321465062594
RTX,Industrials (S&P 500),3,2024-06-27,35.5,47.4,-12.1,Buy,20.79800809281342
TKO,Communication Services (S&P 500),3,2024-06-27,64.2,87.8,-30.1,Buy,12.107733541619949
HCA,Health Care (S&P 500),3,2024-06-27,53.9,75.5,-32.6,Buy,18.205750689652778
MMS,Industrials (S&P 400),3,2024-06-27,-36.8,-34.4,-46.6,Sell,6.281780606698324
RS,Materials (S&P 400),3,2024-06-27,-40.2,-31.8,-73.8,Sell,2.8291410979053926
CDP,Real Estate (S&P 400),3,2024-06-27,-35.1,-18.9,-100.0,Sell,25.506242245473658
WEC,Utilities (S&P 500),3,2024-06-27,4.3,-7.3,50.6,Hold,21.72274989818853
TMUS,Communication Services (S&P 500),3,2024-06-27,-33.0,-56.6,61.8,Sell,14.965989494851575
MTD,Health Care (S&P 500),3,2024-06-27,-29.7,-45.3,32.6,Sell,0.9839864081653765
AM,Energy (S&P 400),3,2024-06-27,42.8,52.7,3.0,Buy,3.854589493751938
AAPL,Information Technology (S&P 500),3,2024-06-27,-50.6,-48.7,-58.2,Sell,5.853345717163873
WLK,Materials (S&P 400),3,2024-06-27,-79.5,-74.4,-100.0,Sell,-0.08158669720644286
MO,Consumer Staples (S&P 500),3,2024-06-27,83.9,86.8,72.1,Buy,14.47938436457733
BKNG,Consumer Discretionary (S&P 500),3,2024-06-27,60.5,81.4,-23.2,Buy,4.389260203228569
UHS,Health Care (S&P 500),3,2024-06-27,10.2,10.1,10.8,Buy,26.040380798353898
AZZ,Industrials (S&P 600),3,2024-06-27,65.3,78.2,13.5,Buy,5.070417068503335
BHE,Information Technology (S&P 600),3,2024-06-27,-32.5,-35.8,-19.3,Sell,12.466181274346823
LIN,Materials (S&P 500),3,2024-06-27,-10.1,-17.3,18.5,Sell,8.675841780286179
WMB,Energy (S&P 500),3,2024-06-27,45.7,44.9,48.9,Buy,8.864627473457155
PEG,Utilities (S&P 500),3,2024-06-27,10.3,-10.3,92.7,Buy,21.590916352831847
RRX,Industrials (S&P 400),3,2024-06-27,33.2,66.5,-100.0,Buy,21.12726378751836
SWKS,Information Technology (S&P 500),3,2024-06-27,-51.8,-51.9,-51.5,Sell,-7.37339330336703
AZO,Consumer Discretionary (S&P 500),3,2024-06-27,32.4,42.8,-9.0,Buy,5.196253415234527
CBT,Materials (S&P 400),3,2024-06-27,5.3,-1.2,31.0,Hold,16.547117240512495
SPGI,Financials (S&P 500),3,2024-06-27,-17.8,-6.7,-62.2,Sell,14.890487979221156
LAMR,Real Estate (S&P 400),3,2024-06-27,37.3,48.2,-6.3,Buy,12.974742602758639
TEL,Information Technology (S&P 500),3,2024-06-27,-48.0,-51.1,-35.6,Sell,-1.5456059221681857
MKC,Consumer Staples (S&P 500),3,2024-06-27,39.1,32.7,64.8,Buy,18.805969909309024
NCLH,Consumer Discretionary (S&P 500),3,2024-06-27,88.3,90.1,80.9,Buy,8.315457055593892
NFLX,Communication Services (S&P 500),3,2024-06-27,-42.6,-33.5,-79.0,Sell,5.438817291079904
DOW,Materials (S&P 500),3,2024-06-27,-48.1,-35.1,-100.0,Sell,1.0872114890659674
LOW,Consumer Discretionary (S&P 500),3,2024-06-27,-17.9,-34.4,48.3,Sell,21.135054902183896
PSA,Real Estate (S&P 500),3,2024-06-27,36.8,65.4,-77.6,Buy,26.543046266075287
NRG,Utilities (S&P 500),3,2024-06-27,50.9,88.6,-100.0,Buy,14.069434892593186
ESAB,Industrials (S&P 400),3,2024-06-27,5.7,18.1,-43.6,Hold,11.018480341300277
WST,Health Care (S&P 500),3,2024-06-27,-39.3,-39.9,-37.0,Sell,-7.673488546506096
BOX,Information Technology (S&P 600),3,2024-06-27,-36.4,-64.6,76.3,Sell,24.323298434839717
SLGN,Materials (S&P 400),3,2024-06-27,78.8,84.1,57.7,Buy,19.08802266655201
BKR,Energy (S&P 500),3,2024-06-27,87.7,86.2,93.8,Buy,5.376873997318388
PSKY,Communication Services (S&P 500),4,2024-09-25,49.2,86.5,-100.0,Buy,-0.7901244267932379
WSO,Industrials (S&P 400),4,2024-09-25,-65.4,-56.7,-100.0,Sell,-0.7959849678032411
LSCC,Information Technology (S&P 400),4,2024-09-25,-11.7,-34.7,80.2,Sell,17.79841556851131
ASTH,Health Care (S&P 600),4,2024-09-25,12.5,34.7,-76.3,Buy,-39.91385712713046
AA,Materials (S&P 400),4,2024-09-25,0.6,25.8,-100.0,Hold,7.47977668106761
TOL,Consumer Discretionary (S&P 400),4,2024-09-25,-20.5,-0.7,-100.0,Sell,-14.81467489275518
MUR,Energy (S&P 400),4,2024-09-25,-1.2,-9.5,32.0,Hold,-15.699590233804631
BFAM,Consumer Discretionary (S&P 600),4,2024-09-25,-75.0,-77.6,-64.6,Sell,-21.32817338816459
VLO,Energy (S&P 500),4,2024-09-25,24.1,32.2,-8.1,Buy,-9.839466197660471
NEE,Utilities (S&P 500),4,2024-09-25,67.6,62.9,86.5,Buy,-13.260894264871675
CALM,Consumer Staples (S&P 600),4,2024-09-25,-58.3,-58.3,,Sell,42.089215952381565
BIIB,Health Care (S&P 500),4,2024-09-25,50.7,82.1,-75.1,Buy,-21.182631565185137
TXN,Information Technology (S&P 500),4,2024-09-25,-73.5,-75.2,-66.7,Sell,-5.536446648010516
PPG,Materials (S&P 500),4,2024-09-25,43.2,37.5,66.4,Buy,-4.852421182432272
PNW,Utilities (S&P 500),4,2024-09-25,56.0,68.1,7.7,Buy,-2.7407491299330577
AN,Consumer Discretionary (S&P 400),4,2024-09-25,61.8,91.8,-58.1,Buy,-0.6628592354910714
OMC,Communication Services (S&P 500),4,2024-09-25,60.9,78.6,-10.3,Buy,-13.478821024486054
KMB,Consumer Staples (S&P 500),4,2024-09-25,-66.5,-73.5,-38.6,Sell,-5.55402587535262
DINO,Energy (S&P 400),4,2024-09-25,47.9,71.6,-47.2,Buy,-22.504015471010753
SMTC,Information Technology (S&P 400),4,2024-09-25,-18.5,-22.7,-1.6,Sell,35.854215726549135
CLF,Materials (S&P 400),4,2024-09-25,57.3,75.9,-17.0,Buy,-22.775509892677775
CELH,Consumer Staples (S&P 400),4,2024-09-25,-15.3,-42.2,92.2,Sell,-11.798838792396234
EHC,Health Care (S&P 400),4,2024-09-25,-22.3,-25.3,-10.3,Sell,-2.495151844897414
UNP,Industrials (S&P 500),4,2024-09-25,-23.8,-25.0,-18.9,Sell,-5.875485665860328
AVNT,Materials (S&P 400),4,2024-09-25,-53.9,-54.1,-52.9,Sell,-15.730002890743805
TNL,Consumer Discretionary (S&P 400),4,2024-09-25,78.5,91.8,25.6,Buy,13.474188246959345
BNL,Real Estate (S&P 600),4,2024-09-25,74.4,85.4,30.4,Buy,-12.159971390829146
PM,Consumer Staples (S&P 500),4,2024-09-25,41.9,58.9,-25.8,Buy,2.1356256436303407
PBF,Energy (S&P 400),4,2024-09-25,67.6,69.2,60.8,Buy,-15.591535654852484
ALKS,Health Care (S&P 600),4,2024-09-25,88.9,86.6,98.1,Buy,12.18312249782275
ROL,Industrials (S&P 500),4,2024-09-25,23.2,31.2,-8.9,Buy,-7.896745722081865
BCPC,Materials (S&P 600),4,2024-09-25,-36.2,-40.4,-19.6,Sell,-3.775968483420048
GOOG,Communication Services (S&P 500),4,2024-09-25,-11.7,-0.0,-58.2,Sell,21.353577803120498
PNR,Industrials (S&P 500),4,2024-09-25,-28.0,-20.0,-60.3,Sell,6.352521151574822
ACLS,Information Technology (S&P 600),4,2024-09-25,-3.4,-14.4,40.8,Hold,-29.14005063968443
AVY,Materials (S&P 500),4,2024-09-25,-61.3,-62.7,-55.4,Sell,-13.081210453523864
OVV,Energy (S&P 400),4,2024-09-25,47.3,57.5,6.7,Buy,0.5242348233240759
HWM,Industrials (S&P 500),4,2024-09-25,2.0,20.0,-69.9,Hold,12.435469303116141
WMG,Communication Services (S&P 400),4,2024-09-25,-56.7,-57.9,-52.1,Sell,0.7048815041105442
AMT,Real Estate (S&P 500),4,2024-09-25,-32.6,-37.4,-13.6,Sell,-21.039818978314308
DAR,Consumer Staples (S&P 400),4,2024-09-25,67.3,65.0,76.8,Buy,-6.544649252563733
NVR,Consumer Discretionary (S&P 500),4,2024-09-25,-47.7,-34.6,-100.0,Sell,-13.213101693503004
MTDR,Energy (S&P 400),4,2024-09-25,35.9,52.6,-30.7,Buy,7.5761683022113155
OPCH,Health Care (S&P 400),4,2024-09-25,65.1,61.0,81.5,Buy,-26.41935656147619
FDX,Industrials (S&P 500),4,2024-09-25,20.8,20.0,24.0,Buy,3.568683600990457
NXPI,Information Technology (S&P 500),4,2024-09-25,-34.3,-31.5,-45.3,Sell,-7.51763819808583
UGI,Utilities (S&P 400),4,2024-09-25,77.2,93.2,13.4,Buy,14.361005354894695
CAKE,Consumer Discretionary (S&P 600),4,2024-09-25,25.3,13.5,72.6,Buy,20.433135606788582
BG,Consumer Staples (S&P 500),4,2024-09-25,4.9,-14.5,82.8,Hold,-15.859193813068739
CHTR,Communication Services (S&P 500),4,2024-09-25,68.2,75.0,41.2,Buy,11.987666818563973
FANG,Energy (S&P 500),4,2024-09-25,-45.0,-41.1,-60.5,Sell,-12.173597758396463
AVTR,Health Care (S&P 400),4,2024-09-25,-60.4,-57.7,-71.4,Sell,-16.790025138810325
ALGM,Information Technology (S&P 400),4,2024-09-25,-14.9,-41.6,91.6,Sell,-2.1538451477721496
ALGT,Industrials (S&P 600),4,2024-09-25,97.3,100.0,86.5,Buy,92.04930820498872
STLD,Materials (S&P 500),4,2024-09-25,7.1,27.3,-73.4,Hold,-4.74379606428152
T,Communication Services (S&P 500),4,2024-09-25,55.2,46.0,92.0,Buy,7.813863123456147
DECK,Consumer Discretionary (S&P 500),4,2024-09-25,-7.0,2.2,-43.7,Hold,34.63430065167374
CVX,Energy (S&P 500),4,2024-09-25,33.7,43.8,-7.0,Buy,0.9288586343927475
POST,Consumer Staples (S&P 400),4,2024-09-25,64.4,100.0,-77.8,Buy,-0.8334772373060302
PSN,Industrials (S&P 400),4,2024-09-25,13.0,31.3,-60.3,Buy,-9.203110865184447
ENSG,Health Care (S&P 400),4,2024-09-25,-34.0,-27.8,-58.7,Sell,-10.50722840373344
GEF,Materials (S&P 400),4,2024-09-25,-16.8,-14.1,-27.2,Sell,0.016008871873536355
CHH,Consumer Discretionary (S&P 400),4,2024-09-25,78.4,91.2,27.2,Buy,9.183710480959173
APAM,Financials (S&P 600),4,2024-09-25,36.2,52.4,-28.2,Buy,4.703829839828286
PR,Energy (S&P 400),4,2024-09-25,68.9,100.0,-55.4,Buy,2.4704491629032885
EW,Health Care (S&P 500),4,2024-09-25,-27.6,-46.4,47.5,Sell,15.24230703733166
ACIW,Information Technology (S&P 600),4,2024-09-25,-82.5,-78.2,-100.0,Sell,7.587468579767872
SPG,Real Estate (S&P 500),4,2024-09-25,32.8,46.5,-22.2,Buy,3.697841074784657
CEG,Utilities (S&P 500),4,2024-09-25,-50.6,-76.8,54.1,Sell,-12.443717633528504
APTV,Consumer Discretionary (S&P 500),4,2024-09-25,69.4,65.7,84.0,Buy,-15.03684405153734
JNJ,Health Care (S&P 500),4,2024-09-25,12.7,5.3,42.2,Buy,-8.455606990168496
TEX,Industrials (S&P 400),4,2024-09-25,83.0,85.0,75.0,Buy,-12.317451839869038
AMAT,Information Technology (S&P 500),4,2024-09-25,-69.2,-61.5,-100.0,Sell,-14.466603626597985
VZ,Communication Services (S&P 500),4,2024-09-25,-33.6,-31.5,-41.7,Sell,-9.267557369689069
EXP,Materials (S&P 400),4,2024-09-25,-8.6,4.9,-62.7,Sell,-11.357587828545473
ELF,Consumer Staples (S&P 400),4,2024-09-25,53.4,46.2,82.2,Buy,20.36682915418771
AJG,Financials (S&P 500),4,2024-09-25,8.0,17.2,-28.6,Buy,2.9104307091543835
CHRD,Energy (S&P 400),4,2024-09-25,77.3,91.6,19.9,Buy,-13.817446543602745
EXLS,Industrials (S&P 400),4,2024-09-25,49.6,49.4,50.2,Buy,21.94989894083336
RPM,Materials (S&P 400),4,2024-09-25,25.8,34.0,-6.9,Buy,4.320266047653341
HST,Real Estate (S&P 500),4,2024-09-25,55.9,60.1,39.3,Buy,1.1709790364947559
NYT,Communication Services (S&P 400),4,2024-09-25,-16.3,-8.8,-46.4,Sell,-2.733355755872089
HRL,Consumer Staples (S&P 500),4,2024-09-25,72.2,75.8,57.5,Buy,2.5363648872698046
GAP,Consumer Discretionary (S&P 400),4,2024-09-25,43.3,31.3,91.3,Buy,18.59661431483226
HAL,Energy (S&P 500),4,2024-09-25,89.8,90.3,87.8,Buy,-6.530568716156289
CPAY,Financials (S&P 500),4,2024-09-25,38.6,52.2,-15.4,Buy,13.628904769272909
AXTA,Materials (S&P 400),4,2024-09-25,49.8,54.6,30.9,Buy,-4.173622863984384
BLDR,Industrials (S&P 500),4,2024-09-25,-79.4,-74.2,-100.0,Sell,-22.453230949730994
MAA,Real Estate (S&P 500),4,2024-09-25,60.2,74.7,2.2,Buy,-3.2826218826709663
AROC,Energy (S&P 600),4,2024-09-25,11.5,-0.7,60.4,Buy,19.622723250622766
CHD,Consumer Staples (S&P 500),4,2024-09-25,43.5,35.4,75.7,Buy,3.692451505586309
CMCSA,Communication Services (S&P 500),4,2024-09-25,70.0,82.3,21.1,Buy,-4.686865562189467
VTRS,Health Care (S&P 500),4,2024-09-25,-8.8,8.3,-77.5,Sell,11.032199418106375
APD,Materials (S&P 500),4,2024-09-25,-32.2,-32.4,-31.4,Sell,0.7000782968018835
TYL,Information Technology (S&P 500),4,2024-09-25,-44.5,-37.7,-72.0,Sell,3.3135701790153496
COST,Consumer Staples (S&P 500),4,2024-09-25,-59.4,-57.4,-67.4,Sell,5.688328837693006
EXE,Energy (S&P 500),4,2024-09-25,-24.3,-44.8,58.1,Sell,25.32780702544762
EFX,Industrials (S&P 500),4,2024-09-25,-58.1,-58.6,-56.0,Sell,-10.425689291371981
SHW,Materials (S&P 500),4,2024-09-25,4.3,11.1,-22.8,Hold,-8.925183061473414
HSY,Consumer Staples (S&P 500),4,2024-09-25,32.5,22.6,72.0,Buy,-10.016968256537998
LNT,Utilities (S&P 500),4,2024-09-25,20.7,23.4,9.9,Buy,0.26137523292037057
APA,Energy (S&P 500),4,2024-09-25,32.5,32.8,31.2,Buy,-10.093893341962543
